Time resolution is 1 ps
Time=0, REC=         0, RPM=         0, State=00
Testing forward progression...
Time=25000, REC=         0, RPM=   2500000, State=00
Time=75000, REC=         1, RPM=   2500000, State=10
Time=125000, REC=         2, RPM=   2500000, State=11
Time=145000, REC=         2, RPM=   1250000, State=11
Time=175000, REC=         3, RPM=   1250000, State=01
Time=205000, REC=         3, RPM=    833333, State=01
Testing reverse progression...
Time=225000, REC=         4, RPM=    833333, State=00
Time=265000, REC=         4, RPM=    625000, State=00
Time=275000, REC=         3, RPM=    625000, State=01
Time=325000, REC=         2, RPM=    625000, State=11
Time=335000, REC=         2, RPM=   2500000, State=11
Time=375000, REC=         1, RPM=   2500000, State=10
Time=395000, REC=         1, RPM=   1250000, State=10
Testing negative overflow...
Time=425000, REC=         0, RPM=   1250000, State=00
Time=12945000, REC=4294967292, RPM=      2535, State=00
Time=12995000, REC=4294967292, RPM=      2525, State=00
Time=13045000, REC=4294967292, RPM=      2515, State=00
Time=13095000, REC=4294967292, RPM=      2505, State=00
Time=13145000, REC=4294967292, RPM=      2495, State=00
Time=13195000, REC=4294967292, RPM=      2485, State=00
Time=13245000, REC=4294967292, RPM=      2475, State=00
Time=13295000, REC=4294967292, RPM=      2465, State=00
Time=13345000, REC=4294967292, RPM=      2455, State=00
Time=13395000, REC=4294967292, RPM=      2446, State=00
Time=13445000, REC=4294967292, RPM=      2436, State=00
Time=13495000, REC=4294967292, RPM=      2427, State=00
Time=13545000, REC=4294967292, RPM=      2417, State=00
Time=13595000, REC=4294967292, RPM=      2408, State=00
Time=13645000, REC=4294967292, RPM=      2399, State=00
Time=13695000, REC=4294967292, RPM=      2390, State=00
Time=13745000, REC=4294967292, RPM=      2380, State=00
Time=13795000, REC=4294967292, RPM=      2371, State=00
Time=13845000, REC=4294967292, RPM=      2362, State=00
Time=13895000, REC=4294967292, RPM=      2354, State=00
Time=13945000, REC=4294967292, RPM=      2345, State=00
Time=13995000, REC=4294967292, RPM=      2336, State=00
Time=14045000, REC=4294967292, RPM=      2327, State=00
Time=14095000, REC=4294967292, RPM=      2319, State=00
Time=14145000, REC=4294967292, RPM=      2310, State=00
Time=14195000, REC=4294967292, RPM=      2302, State=00
Time=14245000, REC=4294967292, RPM=      2293, State=00
Time=14295000, REC=4294967292, RPM=      2285, State=00
Time=14345000, REC=4294967292, RPM=      2276, State=00
Time=14395000, REC=4294967292, RPM=      2268, State=00
Time=14445000, REC=4294967292, RPM=      2260, State=00
Time=14495000, REC=4294967292, RPM=      2252, State=00
Time=14545000, REC=4294967292, RPM=      2244, State=00
Time=14595000, REC=4294967292, RPM=      2236, State=00
Time=14645000, REC=4294967292, RPM=      2228, State=00
Time=14695000, REC=4294967292, RPM=      2220, State=00
Time=14745000, REC=4294967292, RPM=      2212, State=00
Time=14795000, REC=4294967292, RPM=      2204, State=00
Time=14845000, REC=4294967292, RPM=      2196, State=00
Time=14895000, REC=4294967292, RPM=      2189, State=00
Time=14945000, REC=4294967292, RPM=      2181, State=00
Time=14995000, REC=4294967292, RPM=      2173, State=00
Time=15045000, REC=4294967292, RPM=      2166, State=00
Time=15095000, REC=4294967292, RPM=      2158, State=00
Time=15145000, REC=4294967292, RPM=      2151, State=00
Time=15195000, REC=4294967292, RPM=      2144, State=00
Time=15245000, REC=4294967292, RPM=      2136, State=00
Time=15295000, REC=4294967292, RPM=      2129, State=00
Time=15345000, REC=4294967292, RPM=      2122, State=00
Time=15395000, REC=4294967292, RPM=      2115, State=00
Time=15445000, REC=4294967292, RPM=      2107, State=00
